city,enso_index,enso_group,metric,unit,n_group_winters,n_eligible,mean,median,std,min,max,eligible_years,city_name,region,latitude_approx,included_in_proposal,included_in_repo_study
london,RONI,La Nina,mean_temp,degrees C,20,20,-4.088822447,-4.086379731,1.655466622,-6.334444444,-1.189010989,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2013,2017,2018,2021,2022,2023,2025,2026",London,Southwest,43.03,False,False
london,RONI,La Nina,temp_anomaly,degrees C,20,20,-0.009443539929,-0.007000824093,1.655466622,-2.255065537,2.890367918,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2013,2017,2018,2021,2022,2023,2025,2026",London,Southwest,43.03,False,False
london,RONI,La Nina,snowfall_total_cm,cm,20,7,145.1285714,125.7,49.15433905,90.5,215,"1984,1985,1989,1996,1999,2000,2001",London,Southwest,43.03,False,False
london,RONI,La Nina,snow_days,days,20,7,31.85714286,31,6.256425269,24,41,"1984,1985,1989,1996,1999,2000,2001",London,Southwest,43.03,False,False
london,RONI,La Nina,days_below_m20,days,20,18,4.111111111,3,3.462214335,0,12,"1984,1985,1989,1996,1999,2000,2001,2006,2008,2009,2011,2012,2013,2018,2021,2022,2025,2026",London,Southwest,43.03,False,False
london,RONI,Neutral,mean_temp,degrees C,9,9,-4.964639454,-5.030769231,2.496268026,-8.082222222,-0.91,"1982,1986,1990,1994,1997,2002,2004,2014,2020",London,Southwest,43.03,False,False
london,RONI,Neutral,temp_anomaly,degrees C,9,9,-0.8852605468,-0.9513903235,2.496268026,-4.002843315,3.169378907,"1982,1986,1990,1994,1997,2002,2004,2014,2020",London,Southwest,43.03,False,False
london,RONI,Neutral,snowfall_total_cm,cm,9,5,154.38,160.4,37.00772892,106.4,191.3,"1982,1986,1990,1997,2002",London,Southwest,43.03,False,False
london,RONI,Neutral,snow_days,days,9,5,35,36,5.522680509,27,42,"1982,1986,1990,1997,2002",London,Southwest,43.03,False,False
london,RONI,Neutral,days_below_m20,days,9,8,5.375,2.5,6.186101934,0,17,"1982,1986,1990,1997,2002,2004,2014,2020",London,Southwest,43.03,False,False
